Export Page Cols:,O2,O3,O4,Temp Adj ROI,Temp Adj ROI SD,Temp Adj Max,Temp Adj Max SD,Max eV,Max eV SD,Energy (mJ),Energy (mJ) SD,Energy Adjusted Max,Lineout Integrated,Lineout Integrated SD,,,,,,,,,,,,,,,,,,,,,22.3930474,0.24,192.8794427,0.24,,,,,,,,,0.00655355,,,,,,,,,,,,,NORMALIZED ENERGY,NORMALIZED FLUX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SN,Temp (C),TimeStamp,Mean ROI,Max ROI,Energy,BG Subtracted Value,BG Raw Value,Integrated under Lineout,TL Motor SN,TL Foc,TL Trans,Energy SN,Energy (J),Centroid SRSI,,Dazz SN,Delay,Ordern 2,Order 3,Order 4,,,,,,Temp,Standard Dev (SD),ROI Mean,Standard Dev (SD),ROI Max,Standard Dev (SD),MeV at Max,Standard Dev (SD),BG Side Mean,Standard Dev (SD),BG Side Mean Raw,Standard Dev (SD),Integral Under Lineout,Standard Dev (SD),Standard Dev (SD),Standard Dev (SD),TFoc (mm),Standard Dev (SD),TTrans (mm),Standard Dev (SD),"Energy (mJ, uncal)",Standard Dev (SD),Del,Standard Dev (SD),O2,Standard Dev (SD),O3,Standard Dev (SD),O4,Standard Dev (SD),Reps per setting,Centroid SRSI,Centroid SRSI SD,,
,176264,77,16:06:00,11.75887664,37.21437143,0.61525,33.76562857,204.2520286,27078.3274,176264,18.44997668,2.399982509,176264,0.005383037493,805.9941875,,176264,4400,34800,11000,-5350000,,,,,1,77,0,12.7171,1.81327,38.8631,3.91599,0.603626,0.0368564,33.5889,0.10,204.075,1.04E-01,29285.7,4177.26,176262,1.41421,18.45,0,2.39998,0,0.00510008,0.000179627,4400,0,3.48E+04,0,1.10E+04,0,-5.35E+06,0,5,805.626,0.279636,0.7782163865,49.93868116
,176263,77,16:05:58,14.1277562,41.54328571,0.560818,33.55671429,204.0431143,32535.637,176263,18.44997668,2.399982509,176263,0.005132120722,805.611789,,176263,4400,34800,11000,-5350000,,,,,2,77,0,38.0869,12.1943,86.8411,22.7735,0.894301,0.17606,33.4989,0.12,203.985,1.21E-01,87729.9,28093.3,176257,1.41421,18.45,0,2.39998,0.00E+00,0.00448369,1.25E-04,4400,0,3.53E+04,0,3.00E+03,0,-5.05E+06,0,5,807.423,0.499123,0.6841620191,126.9306065
,176262,77,16:05:55,15.53008532,45.13946032,0.629348,33.64053968,204.1269397,35765.90711,176262,18.44997668,2.399982509,176262,0.004867474784,805.546651,,176262,4400,34800,11000,-5350000,,,,,3,77,0,36.9756,13.0935,85.1383,25.006,0.917002,0.128608,33.3777,0.06,203.864,6.24E-02,85171.2,30164.3,176252,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00223856,8.53E-05,4400,0,3.52E+04,0,-1.30E+04,0,-4.75E+06,0,5,808.648,0.217332,0.3415797545,249.2486715
,176261,77,16:05:53,11.46338408,35.79184762,0.651898,33.48815238,203.9745524,26397.22507,176261,18.44997668,2.399982509,176261,0.005165512472,805.417324,,176261,4400,34800,11000,-5350000,,,,,4,77,0,17.2944,6.72192,45.1827,13.6586,0.559963,0.0615983,33.2493,0.11,203.736,1.08E-01,39830.8,15484.5,176247,1.41421,18.45,0,2.39998,0.00E+00,0.00367097,1.39E-04,4400,0,3.47E+04,0,-9.00E+03,0,-4.45E+06,0,5,807.003,0.247062,0.5601498425,80.66180971
,176260,77,16:05:50,10.70539742,34.6266127,0.560818,33.4933873,203.9797873,24651.43904,176260,18.44997668,2.399982509,176260,0.004952257583,806.0816438,,176260,4400,34800,11000,-5350000,,,,,5,77,0,12.7314,4.98834,36.3011,8.56196,0.587711,0.0680194,33.2749,0.08,203.761,7.76E-02,29318.5,11491.6,176242,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00407047,7.16E-05,4400,0,3.44E+04,0,-1.30E+04,0,-4.45E+06,0,5,805.218,0.209279,0.6211091698,58.44560306
,176259,77,16:05:48,57.8851442,121.8066286,1.059188,33.67337143,204.1597714,133341.7256,176259,18.44997668,2.399982509,176259,0.004293888518,805.5261682,,176259,4400,35300,3000,-5050000,,,,,6,77,0,14.3464,7.77139,42.5376,20.2482,0.657131,0.152433,33.1344,0.10,203.621,9.74E-02,33039,17903.6,176237,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00564876,8.69E-05,4400,0,3.45E+04,0,1.50E+04,0,-4.45E+06,0,5,802.89,0.155869,0.8619389491,49.35105908
,176258,77,16:05:45,20.96961215,53.60493333,0.629348,33.37506667,203.8614667,48296.01147,176258,18.44997668,2.399982509,176258,0.004631163885,805.6744307,,176258,4400,35300,3000,-5050000,,,,,7,77,0,46.8123,8.37462,102.918,12.7461,1.00901,0.0687323,33.1702,0.07,203.657,7.19E-02,107831,19293.6,176232,1.41421,18.45,0,2.39998,0.00E+00,0.00549965,7.89E-05,4400,0,3.53E+04,0,2.30E+04,0,-4.75E+06,0,5,805.478,0.285869,0.8391863952,122.6402151
,176257,77,16:05:43,33.67035089,78.98203492,0.737978,33.45796508,203.9443651,77554.93642,176257,18.44997668,2.399982509,176257,0.004599603314,805.1569124,,176257,4400,35300,3000,-5050000,,,,,8,77,0,12.1695,3.23769,35.7514,7.02112,0.522152,0.0450836,33.0086,0.14,203.495,1.38E-01,28024.5,7458.85,176227,1.41421,18.45,0,2.39998,0,0.00538599,0.000114293,4400,0,3.44E+04,0,-1.30E+04,0,-5.05E+06,0,5,807.043,0.366331,0.8218431232,43.50148951
,176256,77,16:05:40,43.28630888,99.53327937,1.010372,33.60672063,204.0931206,99707.65238,176256,18.44997668,2.399982509,176256,0.004402225272,807.6876649,,176256,4400,35300,3000,-5050000,,,,,9,77,0,31.6194,15.9591,73.4552,31.1647,0.772576,0.213382,33.0008,0.10,203.487,9.82E-02,72830,36765.1,176222,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00213284,6.19E-05,4400,0,3.50E+04,0,-1.70E+04,0,-4.45E+06,0,5,809.204,0.359128,0.3254480396,225.704847
,176255,77,16:05:38,34.62308294,80.27870794,1.034618,33.38129206,203.8676921,79749.20438,176255,18.44997668,2.399982509,176255,0.004491585628,807.7950987,,176255,4400,35300,3000,-5050000,,,,,10,77,0,27.6715,10.9943,65.3911,21.8326,0.660471,0.113127,32.8889,0.11,203.375,1.06E-01,63736,25328,176217,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00649769,7.13E-05,4400,0,3.48E+04,0,2.70E+04,0,-4.45E+06,0,5,807.849,0.143735,0.9914763754,65.95326084
,176254,77,16:05:35,56.89278611,125.5281333,0.991738,33.33186667,203.8182667,131055.4211,176254,18.44997668,2.399982509,176254,0.002072282107,806.5095927,,176254,4400,35200,-13000,-4750000,,,,,11,77,0,21.5511,11.7716,55.362,21.6701,0.760833,0.167579,32.85,0.16,203.336,1.56E-01,49636.6,27118.9,176212,1.41421,18.45,0,2.39998,0,0.00479433,0.000126806,4400,0,3.51E+04,0,-5.00E+03,0,-5.35E+06,0,5,805.3,0.320466,0.731562283,75.67640006
,176253,77,16:05:33,22.49883814,56.74815238,0.660218,33.37184762,203.8582476,51819.93493,176253,18.44997668,2.399982509,176253,0.002267670877,806.9169308,,176253,4400,35200,-13000,-4750000,,,,,12,77,0,38.6093,9.26545,89.4848,19.1654,0.896402,0.136692,32.9352,0.11,203.422,1.14E-01,88934.1,21344.9,176207,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00288775,5.90E-05,4400,0,3.47E+04,0,-9.00E+03,0,-4.15E+06,0,5,802.535,0.325089,0.440639043,203.0795987
,176252,77,16:05:30,22.48537455,60.47717143,0.98645,33.42282857,203.9092286,51789.1358,176252,18.44997668,2.399982509,176252,0.002258503594,808.2331868,,176252,4400,35200,-13000,-4750000,,,,,13,77,0,40.6524,6.02034,88.034,11.6286,1.02354,0.111002,32.854,0.12,203.34,1.25E-01,93640.5,13869.1,176202,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00261198,3.69E-05,4400,0,3.54E+04,0,-9.00E+03,0,-5.05E+06,0,5,803.912,0.291819,0.3985595593,220.8804128
,176251,77,16:05:28,41.42563204,90.82651746,0.975922,33.29348254,203.7798825,95423.26971,176251,18.44997668,2.399982509,176251,0.002279908472,807.5542006,,176251,4400,35200,-13000,-4750000,,,,,14,77,0,23.7079,10.5455,60.061,21.7295,0.679474,0.177803,32.639,0.08,203.125,8.34E-02,54605.8,24294.9,176197,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00207122,9.96E-05,4400,0,3.53E+04,0,-2.10E+04,0,-4.45E+06,0,5,805.731,0.29623,0.3160455021,190.0390912
,176250,77,16:05:25,41.57541796,92.11161587,0.970682,33.46838413,203.9547841,95768.48136,176250,18.44997668,2.399982509,176250,0.002314422459,807.4106365,,176250,4400,35200,-13000,-4750000,,,,,15,77,0,24.0515,6.87194,61.1717,13.3172,0.830066,0.135638,32.5763,0.07,203.063,7.23E-02,55396.8,15831.1,176192,1.41421,18.45,0,2.39998,0,0.00316291,0.000129814,4400,0,3.53E+04,0,-9.00E+03,0,-5.05E+06,0,5,807.594,0.349689,0.4826254473,126.7477717
,176249,77,16:05:23,10.44468686,29.74446984,0.629348,33.41553016,203.9019302,24051.84404,176249,18.44997668,2.399982509,176249,0.003666962165,807.2805338,,176249,4400,34700,-9000,-4450000,,,,,16,77,0,27.5819,9.13555,69.4379,20.8139,0.818723,0.177035,32.6101,0.14,203.097,1.38E-01,63529.5,21045.5,176187,1.41421,18.45,0,2.39998,0.00E+00,0.00590992,8.83E-05,4400,0,3.51E+04,0,2.30E+04,0,-5.35E+06,0,5,807.815,0.245753,0.9017891067,77.0001539
,176248,77,16:05:20,13.32375347,38.18644444,0.523858,33.29355556,203.7799556,30684.62156,176248,18.44997668,2.399982509,176248,0.00346912683,808.5119644,,176248,4400,34700,-9000,-4450000,,,,,17,77,0,28.8548,4.85529,69.0984,10.5527,0.758028,0.137452,32.4576,0.17,202.944,1.69E-01,66462.4,11185.1,176182,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00363878,7.56E-05,4400,0,3.54E+04,0,-9.00E+03,0,-5.35E+06,0,5,804.712,0.204181,0.5552380008,124.4482544
,176247,77,16:05:18,29.77569345,69.67149206,0.629348,33.08850794,203.5749079,68582.72622,176247,18.44997668,2.399982509,176247,0.003593614378,808.9178502,,176247,4400,34700,-9000,-4450000,,,,,18,77,0,30.6512,14.7622,73.6826,30.7896,0.788153,0.18493,32.3974,0.05,202.884,4.63E-02,70601.8,34007.6,176177,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00343267,1.08E-04,4400,0,3.51E+04,0,-1.30E+04,0,-5.05E+06,0,5,801.908,0.232764,0.5237878707,140.6725969
,176246,77,16:05:15,18.20683125,48.8298,0.471418,33.2502,203.7366,41931.1194,176246,18.44997668,2.399982509,176246,0.003743085422,808.4038311,,176246,4400,34700,-9000,-4450000,,,,,19,76.8,0.4,28.695,16.8072,71.3052,34.1076,0.837632,0.157157,32.3228,0.11,202.809,1.05E-01,66094.9,38719.3,176172,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00436912,5.80E-05,4400,0,3.50E+04,0,-1.70E+04,0,-5.35E+06,0,5,803.501,0.200825,0.6666798911,106.9556784
